block,vial,treatment,diet,time,censor,hours_til_death
c,60,E. faecalis,4%,16:15,1,48
c,60,E. faecalis,4%,16:15,1,48
c,60,E. faecalis,4%,16:15,0,120
c,60,E. faecalis,4%,16:15,0,120
c,60,E. faecalis,4%,16:15,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,61,PBS,8%,15:21,0,120
c,62,E. faecalis,8%,17:13,1,24
c,62,E. faecalis,8%,17:13,1,24
c,62,E. faecalis,8%,17:13,1,24
c,62,E. faecalis,8%,17:13,1,24
c,62,E. faecalis,8%,17:13,1,48
c,62,E. faecalis,8%,17:13,1,48
c,62,E. faecalis,8%,17:13,1,96
c,62,E. faecalis,8%,17:13,0,120
c,62,E. faecalis,8%,17:13,0,120
c,62,E. faecalis,8%,17:13,0,120
c,63,E. faecalis,8%,17:18,1,24
c,63,E. faecalis,8%,17:18,1,24
c,63,E. faecalis,8%,17:18,1,48
c,63,E. faecalis,8%,17:18,1,48
c,63,E. faecalis,8%,17:18,1,48
